id,cm_feeling,cm_fun,cm_pleasant,cm_high
1026,2,2,2,2
1026,3,3,3,2
1026,2,3,3,2
1026,3,3,2,3
1026,2,3,3,2
1026,2,3,2,2
1026,2,3,2,2
1026,2,3,2,2
1026,2,3,3,2
1026,2,2,3,2
1026,2,3,2,2
1026,1,2,3,2
1026,3,2,3,2
1026,2,2,3,2
1026,2,2,1,2
1026,2,3,2,2
1026,2,2,2,2
1026,2,2,3,2
1026,2,2,3,2
1026,2,3,3,2
1026,2,3,3,2
1026,2,2,3,2
1026,2,2,3,2
1026,2,2,3,2
1026,2,2,3,2
1026,2,2,3,2
1030,3,3,2,2
1030,0,0,3,3
1030,0,1,1,2
1030,0,0,0,0
1030,0,0,0,0
1030,0,0,0,0
1030,3,0,3,3
1030,0,0,0,0
1030,0,0,0,0
1030,0,0,0,0
1030,0,0,0,0
1032,3,3,3,3
1032,3,3,3,3
1032,3,3,3,2
1032,3,2,0,0
1032,2,2,2,2
1032,2,3,2,2
1032,2,2,3,1
1033,3,3,3,3
1033,3,3,3,3
1033,3,3,3,3
1033,3,3,3,3
1033,3,3,3,3
1033,3,3,3,3
1037,2,2,3,2
1037,2,2,2,1
1037,2,2,2,1
1037,2,2,3,2
1037,2,2,2,2
1037,2,2,3,2
1037,2,2,3,1
1037,2,2,3,2
1037,3,2,2,1
1037,3,2,3,2
1037,3,2,2,1
1037,2,2,2,2
1037,2,2,2,1
1037,3,1,2,1
1037,2,1,2,2
1037,2,1,3,1
1037,3,1,2,2
1037,3,1,3,1
1037,3,2,2,2
1037,2,1,2,1
1037,1,1,3,1
1038,3,3,3,3
1038,3,3,3,3
1038,3,3,2,2
1038,3,3,3,3
1038,2,3,3,3
1038,3,2,3,3
1039,2,3,2,3
1039,2,2,2,3
1039,2,3,3,3
1039,3,3,3,3
1040,3,3,3,3
1040,3,3,3,3
1040,3,3,2,3
1040,3,3,3,3
1040,2,1,1,3
1040,3,3,3,3
1040,2,3,3,3
1040,3,3,3,3
1044,3,0,2,3
1044,2,0,2,2
1044,3,1,3,3
1044,3,1,3,2
1044,3,1,3,2
1044,0,2,2,3
1044,2,0,2,2
1044,3,0,3,3
1044,2,2,3,2
1047,2,2,2,2
1047,2,3,2,2
1047,3,3,3,2
1047,3,3,3,3
1047,2,3,3,2
1047,3,3,3,2
1047,2,2,3,2
1049,2,2,3,2
1049,3,3,3,2
1049,2,2,2,2
1049,3,2,2,2
1049,3,2,2,2
1049,2,3,2,2
1049,2,2,2,3
1049,2,2,3,2
1049,2,2,2,2
1049,3,2,2,2
1049,3,3,3,3
1049,3,3,3,3
1049,3,2,2,2
1049,3,2,2,2
1049,2,2,2,2
1049,3,2,2,2
1049,2,2,2,2
1049,3,2,3,2
1049,3,2,2,2
1051,2,2,2,2
1051,2,2,2,2
1051,2,2,2,2
1051,2,2,0,2
1051,2,2,2,2
1051,0,0,2,0
1051,2,2,2,2
1051,2,2,2,2
1051,2,2,2,2
1051,2,2,0,2
1051,2,2,2,2
1051,2,2,2,2
1051,3,2,2,2
1051,2,0,0,0
1051,2,0,0,0
1051,0,0,0,0
1053,3,2,3,3
1053,3,2,3,3
1053,3,3,3,3
1053,2,2,3,3
1053,2,3,3,3
1053,2,3,3,3
1053,3,2,2,3
1053,2,2,2,3
1053,2,2,2,3
1053,3,2,3,3
1053,3,3,3,3
1053,3,2,2,3
1053,2,2,2,2
1053,3,3,3,3
1053,2,2,2,2
1053,2,1,2,2
1053,3,2,3,3
1053,3,1,0,3
1053,2,2,2,2
1054,3,3,2,2
1054,3,2,2,2
1054,3,2,2,2
1054,2,2,2,2
1054,3,3,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1054,2,2,2,2
1055,3,3,3,3
1055,3,3,3,3
1055,3,3,3,2
1055,3,3,2,2
1055,3,3,2,2
1055,3,2,2,3
1055,3,2,2,2
1055,2,2,2,2
1055,3,2,2,2
1055,3,3,3,3
1055,3,3,2,3
1055,3,3,3,3
1055,2,3,2,2
1055,2,3,2,2
1055,2,3,2,2
1055,3,2,2,2
1055,2,2,2,2
1055,3,3,2,2
1055,3,3,2,3
1055,3,3,2,3
1055,3,3,2,2
1055,2,2,2,2
1055,3,3,2,2
1055,3,2,2,2
1055,2,2,2,2
1055,3,3,2,2
1055,3,3,2,2
1055,3,2,2,2
1055,3,3,2,2
1055,3,3,2,3
1055,3,3,2,3
1056,2,3,2,2
1056,3,3,0,3
1056,2,2,2,2
1056,3,3,2,2
1056,2,2,2,2
1057,3,3,3,3
1057,2,3,3,3
1057,3,3,3,3
1057,2,3,3,3
1057,3,3,3,3
1057,3,3,3,3
1057,3,3,3,3
1057,3,3,3,3
1057,2,3,3,3
1057,3,3,3,3
1057,3,3,3,3
1057,3,3,3,3
1058,3,3,3,3
1058,3,3,2,3
1058,3,3,3,3
1058,3,3,3,3
1058,3,3,2,3
1058,3,3,3,3
1058,3,3,2,3
1058,3,3,3,3
1058,3,3,2,3
1058,3,3,2,3
1058,3,3,2,3
1058,3,3,2,3
1058,3,3,2,3
1058,3,3,2,3
1058,3,2,2,2
1058,3,2,3,3
1058,3,2,2,3
1058,3,2,2,3
1058,3,3,2,3
1058,3,2,2,3
1058,3,3,3,3
1058,3,2,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,2,3
1059,3,3,3,3
1059,3,3,2,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,3,2,3
1059,3,3,3,3
1059,3,3,3,3
1059,2,2,2,3
1059,3,2,3,3
1059,3,3,3,3
1059,3,3,3,3
1059,3,2,2,3
1059,2,3,2,3
1059,2,2,2,3
1059,3,2,3,3
1059,3,3,2,3
1059,3,3,2,3
1060,2,2,2,2
1060,2,2,2,2
1060,2,1,2,2
1060,1,0,2,1
1060,2,2,2,2
1060,2,2,2,2
1060,2,2,2,2
1060,2,2,2,2
1060,2,2,3,2
1060,2,2,2,2
1060,2,2,2,2
1060,2,2,2,2
1060,2,2,2,2
1060,2,3,3,2
1060,2,2,3,2
1060,2,0,2,2
1060,2,0,2,2
1060,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1062,2,2,2,2
1063,2,2,2,2
1063,2,3,3,2
1063,3,3,3,3
1063,3,2,2,2
1063,3,3,3,3
1063,3,2,2,2
1063,3,3,2,3
1063,2,2,3,3
1063,3,3,2,2
1063,3,3,2,3
1063,2,2,2,2
1063,2,2,2,2
1064,3,3,3,3
1064,3,3,3,3
1064,3,3,2,3
1064,3,3,2,3
1064,2,3,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,2,3,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,3,2,3,3
1064,2,3,3,3
1064,3,2,2,3
1064,3,3,2,3
1064,3,3,2,3
1064,3,2,2,3
1064,3,3,3,3
1066,2,2,2,2
1066,2,2,3,2
1066,2,2,3,2
1066,3,2,2,2
1066,2,2,3,2
1066,3,3,3,3
1066,2,2,2,3
1066,3,2,3,3
1066,3,2,2,3
1066,2,2,3,3
1066,3,2,3,3
1067,3,3,2,3
1067,2,1,2,2
1067,3,2,3,2
1067,3,3,3,3
1067,3,3,3,2
1067,2,2,2,2
1067,2,2,2,2
1067,2,2,2,2
1067,2,2,2,2
1067,2,2,2,3
1067,2,2,2,2
1067,2,2,2,2
1067,2,2,2,2
1067,2,2,2,2
1067,2,2,2,2
1068,3,3,3,3
1068,3,3,3,2
1068,2,2,3,3
1068,2,2,2,2
1068,3,3,3,3
1068,3,3,3,3
1068,2,3,2,3
1068,3,3,2,3
1068,3,3,3,3
1069,3,3,3,3
1069,0,0,0,0
1071,2,2,2,3
1071,2,2,2,2
1071,2,2,2,2
1071,2,2,3,2
1071,2,2,2,2
1071,2,1,2,2
1071,2,1,2,2
1071,2,2,2,2
1071,2,1,2,2
1071,2,2,2,2
1071,2,2,2,2
1071,2,2,0,2
1071,2,2,2,2
1071,2,2,2,2
1071,2,2,2,2
1072,3,3,3,3
1072,3,3,3,3
1072,3,3,3,3
1072,3,3,3,3
1072,3,3,3,3
1072,3,3,3,3
1072,3,3,3,3
1072,3,3,3,3
1072,3,3,3,3
1074,3,3,2,2
1074,3,2,3,2
1074,2,2,2,3
1074,3,3,2,3
1074,2,2,2,3
1074,3,3,3,3
1074,2,2,2,2
1074,2,2,2,3
1074,2,2,3,3
1074,3,2,2,3
1074,3,2,3,3
1074,3,2,2,3
1074,3,3,2,3
1074,2,2,2,2
1074,3,2,2,3
1074,2,2,2,3
1074,3,2,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,2,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1075,3,3,3,3
1076,3,2,2,2
1076,2,2,2,2
1076,2,2,2,2
1076,2,2,2,3
1076,2,2,2,3
1076,3,3,2,3
1076,3,3,2,3
1076,2,3,2,3
1076,3,3,3,3
1076,0,2,2,3
1076,2,3,2,3
1076,2,2,2,3
1076,3,2,2,3
1076,3,3,2,3
1076,0,2,1,3
1076,3,2,2,3
1077,3,1,3,2
1077,2,1,2,2
1077,2,2,2,3
1077,2,0,3,2
1077,3,3,3,2
1077,2,2,2,2
1077,2,0,2,2
1077,2,1,2,2
1077,2,1,2,2
1077,2,1,2,2
1077,2,1,2,2
1077,2,2,3,3
1077,3,2,3,3
1077,2,1,2,3
1077,2,1,2,2
1077,2,1,2,2
1077,2,0,2,2
